NEIGHBOURHOOD,COUNT
0,Arbutus Ridge,649
1,Central Business District,9903
2,Dunbar-Southlands,730
3,Fairview,3145
4,Grandview-Woodland,2825
5,Hastings-Sunrise,2320
6,Kensington-Cedar Cottage,2938
7,Kerrisdale,850
8,Killarney,1211
9,Kitsilano,2604
10,Marpole,1691
11,Mount Pleasant,3429
12,Musqueam,93
13,Oakridge,890
14,Renfrew-Collingwood,2940
15,Riley Park,1429
16,Shaughnessy,874
17,South Cambie,529
18,Stanley Park,460
19,Strathcona,2396
20,Sunset,2322
21,Victoria-Fraserview,1399
22,West End,3710
23,West Point Grey,663
